WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,PWD_POPULATION,PWD_DENSITY,PWD_AREA_KM2,PWD_G,PWD_D10
2011-12-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,2011,603172.2,56.26,10718.1,116.26,11408.0
2012-02-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535,0.7197,36.0185,2012,622054.4,58.019999999999996,10718.1,118.32000000000001,11404.300000000001
2013-01-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,10,,Political violence,1535,0.7197,36.0185,2013,640936.6,59.78,10718.1,120.38,11400.6
2013-02-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,4,,Political violence,1535,0.7197,36.0185,2013,640936.6,59.78,10718.1,120.38,11400.6
2014-03-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-03-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,3,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-10-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,5,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-10-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,4,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-11-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,30,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-12-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2015-01-03,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,21415.0,Political violence,1535,0.7197,36.0185,2015,678701.0,63.3,10718.1,124.5,11393.2
2015-02-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,21415.0,Political violence,1535,0.7197,36.0185,2015,678701.0,63.3,10718.1,124.5,11393.2
2015-05-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,36,29603.0,Political violence,1535,0.7197,36.0185,2015,678701.0,63.3,10718.1,124.5,11393.2
2017-02-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,8,828.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-03-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,3,4,828.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-03-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,828.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-03-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,828.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-04-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,7,109.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-05-06,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,3342.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-06-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,283.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-06-17,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,30897.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-07-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,3,7,38851.0,Political violence,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2018-04-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,505.0,Political violence,1535,0.7197,36.0185,2018,734807.0,68.52,10718.1,131.1,12779.800000000001
2018-05-12,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,7542.0,Political violence,1535,0.7197,36.0185,2018,734807.0,68.52,10718.1,131.1,12779.800000000001
2018-09-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,11155.0,Political violence,1535,0.7197,36.0185,2018,734807.0,68.52,10718.1,131.1,12779.800000000001
2019-01-12,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,28.0,Political violence,1535,0.7197,36.0185,2019,753509.0,70.26,10718.1,133.3,13242.0
2019-02-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,5,825.0,Political violence,1535,0.7197,36.0185,2019,753509.0,70.26,10718.1,133.3,13242.0
2020-02-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,3,942.0,Political violence,1535,0.7197,36.0185,2020,772211.0,72.0,10718.1,135.5,13704.2
2020-04-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,50.0,Political violence,1535,0.7197,36.0185,2020,772211.0,72.0,10718.1,135.5,13704.2
2020-05-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,499.0,Political violence,1535,0.7197,36.0185,2020,772211.0,72.0,10718.1,135.5,13704.2
2020-12-26,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,2493.0,Political violence,1535,0.7197,36.0185,2020,772211.0,72.0,10718.1,135.5,13704.2
2021-01-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,8,1700.0,Political violence,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2021-04-03,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,251.0,Political violence,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2021-04-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,842.0,Political violence,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2021-07-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,251.0,Political violence,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2021-12-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,246.0,Political violence,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2022-01-22,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,110.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-01-29,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,10884.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-03-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,7132.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-04-30,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,3207.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-05-28,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,460.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-08-06,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,2571.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-10-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,111.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-12-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,10478.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2023-01-07,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,112.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-01-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,9894.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-02-04,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,7273.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-02-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,49.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-03-04,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4504.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-03-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4504.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-04-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,8134.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-04-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,10481.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-04-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,112.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-05-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,4634.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-09-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,306.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-09-30,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,370.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-10-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,1,1985.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-10-28,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,22339.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-11-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,306.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-11-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,291.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-12-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,4,9755.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2024-01-27,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,311.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-02-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,5044.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-02-24,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,428.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-03-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,1,15443.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-03-23,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,5878.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-05-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,10124.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-05-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4733.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-11-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,283.0,Political violence,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2025-01-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,901.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2025-03-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,287.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2025-03-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,5637.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2025-04-26,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,3,5168.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2025-05-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,924.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2025-07-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,1372.0,Political violence,1535,0.7197,36.0185,2025,860974.8447222714,80.2762312632215,11950.120476421313,151.07540744675714,15279.46567329778
2023-02-25,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Air/drone strike,1,0,10478.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-03-11,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Air/drone strike,1,0,10478.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2022-12-24,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Remote explosive/landmine/IED,1,2,111.0,Political violence,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2023-09-30,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,370.0,Political violence,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
1998-06-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,1998,419683.0,39.2,10718.1,71.4,4938.3
2003-07-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64
2003-11-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64
2007-12-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2007,530745.4,49.52,10718.1,102.86,9909.0
2014-07-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-07-26,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-08-02,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,,Demonstrations,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-08-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2014-09-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535,0.7197,36.0185,2014,659818.8,61.54,10718.1,122.44,11396.900000000001
2015-03-21,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,9394.0,Demonstrations,1535,0.7197,36.0185,2015,678701.0,63.3,10718.1,124.5,11393.2
2015-05-02,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7303.0,Demonstrations,1535,0.7197,36.0185,2015,678701.0,63.3,10718.1,124.5,11393.2
2016-11-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,6796.0,Demonstrations,1535,0.7197,36.0185,2016,697403.0,65.03999999999999,10718.1,126.7,11855.400000000001
2017-04-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,9765.0,Demonstrations,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2017-07-08,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,518.0,Demonstrations,1535,0.7197,36.0185,2017,716105.0,66.78,10718.1,128.9,12317.6
2018-04-21,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,224.0,Demonstrations,1535,0.7197,36.0185,2018,734807.0,68.52,10718.1,131.1,12779.800000000001
2018-04-28,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7783.0,Demonstrations,1535,0.7197,36.0185,2018,734807.0,68.52,10718.1,131.1,12779.800000000001
2019-03-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7932.0,Demonstrations,1535,0.7197,36.0185,2019,753509.0,70.26,10718.1,133.3,13242.0
2019-06-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,228.0,Demonstrations,1535,0.7197,36.0185,2019,753509.0,70.26,10718.1,133.3,13242.0
2019-10-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10109.0,Demonstrations,1535,0.7197,36.0185,2019,753509.0,70.26,10718.1,133.3,13242.0
2021-09-18,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,557.0,Demonstrations,1535,0.7197,36.0185,2021,789199.642,73.584,10953.898200000001,138.481,14005.692400000002
2022-01-01,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,243.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-01-08,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,8354.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-02-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10571.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-02-19,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,3.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-03-05,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,566.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-04-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,7893.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-06-11,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,566.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-08-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,8354.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-09-10,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10571.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2022-10-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,625.0,Demonstrations,1535,0.7197,36.0185,2022,806562.034124,75.202848,11194.8839604,141.527582,14313.8176328
2023-01-14,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7795.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-02-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,501.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-03-18,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,8568.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-03-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,6144.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-05-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10733.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-06-17,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,6144.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-09-30,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,768.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-10-28,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,10984.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-11-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,10733.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2023-12-16,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,8503.0,Demonstrations,1535,0.7197,36.0185,2023,824306.398874728,76.857310656,11441.1714075288,144.641188804,14628.7216207216
2024-01-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1134.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-01-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1447.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-01-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1447.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-02-10,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,8654.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-02-17,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,19551.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-04-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10897.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-05-04,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,270.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-05-11,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,10897.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-05-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10897.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-06-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10897.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-06-29,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,46.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-07-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,10897.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
2024-08-03,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7940.0,Demonstrations,1535,0.7197,36.0185,2024,842441.1396499721,78.548171490432,11692.877178494435,147.823294957688,14950.553496377477
